numero de sequencia,tempo inicial,tempo final,tamanho
374,1742170866189485600,1742170866190506900,8
375,1742170866192043200,1742170866192043200,8
376,1742170866193796300,1742170866193796300,8
377,1742170866195591200,1742170866195591200,8
378,1742170866197336500,1742170866197336500,8
379,1742170866198887800,1742170866198887800,8
380,1742170866200633300,1742170866200953100,8
381,1742170866201979300,1742170866204551000,8
382,1742170866204551000,1742170866204551000,8
383,1742170866206085500,1742170866206085500,8
384,1742170866207855900,1742170866207855900,8
385,1742170866209382700,1742170866209382700,8
386,1742170866211126300,1742170866211126300,8
387,1742170866212910700,1742170866212910700,8
388,1742170866214649200,1742170866214649200,8
389,1742170866216207000,1742170866216207000,8
390,1742170866217990600,1742170866220077600,8
391,1742170866220077600,1742170866221095900,8
392,1742170866222638600,1742170866222638600,8
393,1742170866224369200,1742170866224369200,8
394,1742170866226641200,1742170866226974200,8
395,1742170866227981800,1742170866229001100,8
396,1742170866229515500,1742170866229871200,8
397,1742170866230880200,1742170866230880200,8
398,1742170866232634000,1742170866234205900,8
399,1742170866235225500,1742170866238246500,8
400,1742170866237230200,1742170866239845200,8
401,1742170866239247600,1742170866241162500,8
402,1742170866240854900,1742170866241162500,8
403,1742170866242171000,1742170866242171000,8
404,1742170866243747500,1742170866243747500,8
405,1742170866245421300,1742170866245421300,8
406,1742170866247126300,1742170866247126300,8
407,1742170866248889500,1742170866248889500,8
408,1742170866250679100,1742170866250679100,8
409,1742170866252479800,1742170866254083000,8
410,1742170866254083000,1742170866255096000,8
411,1742170866256104700,1742170866256104700,8
412,1742170866257786100,1742170866257786100,8
413,1742170866259344400,1742170866259344400,8
414,1742170866261057700,1742170866261057700,8
415,1742170866262813600,1742170866262813600,8
416,1742170866264546900,1742170866264546900,8
417,1742170866266141100,1742170866266141100,8
418,1742170866267924800,1742170866268939000,8
419,1742170866270015600,1742170866271031300,8
420,1742170866272047300,1742170866272047300,8
421,1742170866273789300,1742170866273789300,8
422,1742170866275498700,1742170866275498700,8
423,1742170866277221200,1742170866278235600,8
424,1742170866279231500,1742170866279739600,8
425,1742170866280748100,1742170866280748100,8
426,1742170866282504700,1742170866282504700,8
427,1742170866284295600,1742170866286907500,8
428,1742170866286318600,1742170866287922600,8
429,1742170866287922600,1742170866288932900,8
430,1742170866290072700,1742170866290072700,8
431,1742170866291762000,1742170866291762000,8
432,1742170866293548900,1742170866293548900,8
433,1742170866295304800,1742170866295607000,8
434,1742170866296612100,1742170866296612100,8
435,1742170866298324700,1742170866298883100,8
436,1742170866299902000,1742170866299902000,8
437,1742170866301670900,1742170866304183400,8
438,1742170866303487300,1742170866305193600,8
439,1742170866305193600,1742170866305193600,8
440,1742170866306945600,1742170866306945600,8
441,1742170866308695600,1742170866309273900,8
442,1742170866310280100,1742170866310280100,8
443,1742170866312021600,1742170866312368200,8
444,1742170866313373200,1742170866313373200,8
445,1742170866315098800,1742170866315098800,8
446,1742170866316821600,1742170866316821600,8
447,1742170866318562400,1742170866321375300,8
448,1742170866320644900,1742170866322662200,8
449,1742170866322662200,1742170866324118700,8
450,1742170866324624900,1742170866324624900,8
451,1742170866326147400,1742170866326525600,8
452,1742170866327534100,1742170866327534100,8
453,1742170866329076700,1742170866329076700,8
454,1742170866330870500,1742170866331437200,8
455,1742170866332445700,1742170866332760900,8
456,1742170866333766000,1742170866333766000,8
457,1742170866335457100,1742170866337302700,8
458,1742170866337302700,1742170866338839100,8
459,1742170866339355400,1742170866339355400,8
460,1742170866341037100,1742170866341037100,8
461,1742170866342777400,1742170866342777400,8
462,1742170866344300200,1742170866344300200,8
463,1742170866346132100,1742170866346132100,8
464,1742170866347845600,1742170866347845600,8
465,1742170866349376200,1742170866349376200,8
466,1742170866351099500,1742170866353205600,8
467,1742170866352415900,1742170866354221400,8
468,1742170866354221400,1742170866355230000,8
469,1742170866356228100,1742170866356228100,8
470,1742170866357899500,1742170866357899500,8
471,1742170866359428500,1742170866359428500,8
472,1742170866361150900,1742170866361150900,8
473,1742170866362926700,1742170866362926700,8
474,1742170866364666300,1742170866364666300,8
475,1742170866366207700,1742170866366207700,8
476,1742170866367891500,1742170866370572600,8
477,1742170866370058600,1742170866373021500,8
478,1742170866372143800,1742170866374290100,8
479,1742170866374290100,1742170866375301100,8
480,1742170866376317700,1742170866378238300,8
481,1742170866378238300,1742170866379765000,8
482,1742170866379765000,1742170866380261900,8
483,1742170866381268900,1742170866381268900,8
484,1742170866383067500,1742170866383067500,8
485,1742170866384796800,1742170866386836000,8
486,1742170866386836000,1742170866387850600,8
487,1742170866388849500,1742170866388849500,8
488,1742170866390578400,1742170866390578400,8
489,1742170866392381700,1742170866392698000,8
490,1742170866393704800,1742170866393704800,8
491,1742170866395384800,1742170866395384800,8
492,1742170866397148600,1742170866397148600,8
493,1742170866399161300,1742170866399161300,8
494,1742170866400834300,1742170866400834300,8
495,1742170866402615600,1742170866403629800,8
496,1742170866405229600,1742170866405589900,8
497,1742170866406595600,1742170866406595600,8
498,1742170866408374400,1742170866408949100,8
499,1742170866409968400,1742170866409968400,8
500,1742170866411727400,1742170866411727400,8
501,1742170866413524700,1742170866413524700,8
502,1742170866415251200,1742170866415251200,8
503,1742170866416983300,1742170866419883500,8
504,1742170866419027400,1742170866421384600,8
505,1742170866420894200,1742170866423162400,8
506,1742170866422404000,1742170866423162400,8
507,1742170866424170000,1742170866424170000,8
508,1742170866426425900,1742170866426954800,8
509,1742170866427963400,1742170866428971900,8
510,1742170866429481400,1742170866429481400,8
511,1742170866431285300,1742170866431285300,8
512,1742170866432992500,1742170866432992500,8
513,1742170866434751100,1742170866438073000,8
514,1742170866438073000,1742170866440492200,8
515,1742170866440129700,1742170866441500900,8
516,1742170866441500900,1742170866441957700,8
517,1742170866442964200,1742170866442964200,8
518,1742170866444480300,1742170866444480300,8
519,1742170866446000900,1742170866446000900,8
520,1742170866447809600,1742170866447809600,8
521,1742170866449340100,1742170866449340100,8
522,1742170866451090800,1742170866453210100,8
523,1742170866452472700,1742170866454236600,8
524,1742170866454236600,1742170866455247600,8
525,1742170866456290600,1742170866456290600,8
526,1742170866457973600,1742170866457973600,8
527,1742170866459493700,1742170866459493700,8
528,1742170866461195000,1742170866461195000,8
529,1742170866462979600,1742170866462979600,8
530,1742170866464708900,1742170866464708900,8
531,1742170866466264600,1742170866467691800,8
532,1742170866467691800,1742170866470238800,8
533,1742170866469232600,1742170866472677200,8
534,1742170866471283300,1742170866474723300,8
535,1742170866473701900,1742170866475732700,8
536,1742170866475732700,1742170866475732700,8
537,1742170866477495300,1742170866477495300,8
538,1742170866479007800,1742170866479007800,8
539,1742170866480722700,1742170866480722700,8
540,1742170866482497300,1742170866482497300,8
541,1742170866484222400,1742170866484222400,8
542,1742170866486675000,1742170866487694100,8
543,1742170866488684700,1742170866489189900,8
544,1742170866490201000,1742170866490201000,8
545,1742170866491966400,1742170866491966400,8
546,1742170866493714800,1742170866493714800,8
547,1742170866495487700,1742170866495487700,8
548,1742170866497204000,1742170866497204000,8
549,1742170866498951600,1742170866498951600,8
550,1742170866500718500,1742170866502861600,8
551,1742170866502076200,1742170866504893400,8
552,1742170866503881900,1742170866505899500,8
553,1742170866505899500,1742170866506332300,8
554,1742170866507339000,1742170866507339000,8
555,1742170866508855000,1742170866508855000,8
556,1742170866510573600,1742170866510573600,8
557,1742170866512380000,1742170866512380000,8
558,1742170866514149500,1742170866515167800,8
559,1742170866516175300,1742170866516524400,8
560,1742170866517536700,1742170866522683100,8
561,1742170866521700300,1742170866522683100,8
562,1742170866524352100,1742170866524352100,8
563,1742170866526405700,1742170866526405700,8
564,1742170866528104800,1742170866528104800,8
565,1742170866529630800,1742170866529630800,8
566,1742170866531377400,1742170866531377400,8
567,1742170866533161800,1742170866533161800,8
568,1742170866534903200,1742170866536916300,8
569,1742170866536916300,1742170866538361900,8
570,1742170866538872400,1742170866538872400,8
571,1742170866540632300,1742170866540632300,8
572,1742170866542407000,1742170866542407000,8
573,1742170866543950900,1742170866543950900,8
574,1742170866545673100,1742170866545673100,8
575,1742170866547384100,1742170866547384100,8
576,1742170866549070500,1742170866549070500,8
577,1742170866550766100,1742170866550766100,8
578,1742170866552522100,1742170866554545000,8
579,1742170866554545000,1742170866554545000,8
580,1742170866556264100,1742170866556264100,8
581,1742170866557986000,1742170866557986000,8
582,1742170866559508000,1742170866561477800,8
583,1742170866560880900,1742170866562487200,8
584,1742170866562487200,1742170866562487200,8
585,1742170866564246400,1742170866564246400,8
586,1742170866566118800,1742170866566650800,8
587,1742170866567661000,1742170866570656400,8
588,1742170866569756500,1742170866572637200,8
589,1742170866571680300,1742170866572637200,8
590,1742170866573647000,1742170866573981000,8
591,1742170866574997500,1742170866574997500,8
592,1742170866576740700,1742170866576740700,8
593,1742170866578501100,1742170866579077600,8
594,1742170866580083300,1742170866580083300,8
595,1742170866581826800,1742170866581826800,8
596,1742170866583560700,1742170866583560700,8
597,1742170866585314700,1742170866587088000,8
598,1742170866587088000,1742170866588106300,8
599,1742170866589098100,1742170866589098100,8
600,1742170866590828600,1742170866590828600,8
601,1742170866592556600,1742170866592556600,8
